title,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName
MR,1,Rossy,Bary,Astin,Male,31/05/1964,9,Suite 36,Chadstone,83,WA,88,75,Suite 32,Chadstone,183,TA,4571252365,8253436604,bastin0@stanford.edu,Adelaide
MR,2,Darnell,Horace,Sheppey,Male,14/12/1993,7,Room 1874,Chadstone,30,SA,83,72,Apt 1623,Chadstone,316,NSW,5897372061,7097709973,hsheppey1@multiply.com,Adelaide
MR,3,Koralle,Emelda,Bellini,Female,27/03/1989,6,Apt 122,Chadstone,15,SA,90,86,Room 41,Glen Waverley,851,TA,8586594256,7023648208,ebellini2@instagram.com,Adelaide
MR,4,Mathew,Gae,Limpricht,Bigender,18/03/1973,11,20th Floor,Chadstone,39,TA,86,47,Suite 87,Glen Waverley,310,SA,6389512599,7044629787,glimpricht3@nps.gov,Adelaide
MISS,5,Bertie,Alon,Friary,Male,17/09/2003,5,Suite 43,Chadstone,52,QLD,57,82,Suite 36,Chadstone,705,NT,5243184495,9312485616,afriary4@dailymotion.com,Adelaide
MISS,6,Sidney,Byrom,Retter,Male,12/10/2003,4,Apt 1305,Chadstone,48,VIC,89,17,Apt 1220,Glen Waverley,80,QLD,2021988365,7792843407,bretter5@acquirethisname.com,Adelaide
MR,7,Algernon,Batholomew,Roubeix,Male,15/05/1998,8,4th Floor,Chadstone,12,QLD,83,52,Apt 1796,Glen Waverley,459,ACT,1881145259,8602682322,broubeix6@nih.gov,Adelaide
MR,8,Hunfredo,Claire,Hannon,Male,14/07/1986,3,Room 920,Chadstone,79,NSW,28,7,PO Box 552,Glen Waverley,135,NSW,7455824072,6552048871,channon7@msu.edu,Adelaide
MISS,9,Glyn,Burr,Tallman,Male,1/09/1970,12,Suite 92,Chadstone,81,SA,100,27,Apt 1345,Glen Waverley,94,WA,2855113262,8813017686,btallman8@blinklist.com,Adelaide
MR,10,Claudie,Rosina,Brognot,Female,4/02/1999,7,Room 1779,Chadstone,35,SA,57,60,Room 994,Glen Waverley,83,SA,8847652084,4065911820,rbrognot9@rambler.ru,Adelaide
MISS,11,Nat,Maurizio,Sailer,Male,25/06/2004,12,Suite 27,Chadstone,89,QLD,34,23,PO Box 52613,Chadstone,244,ACT,5289749384,2231882836,msailera@businessweek.com,Adelaide
MISS,12,Byram,Mikkel,Aiton,Male,28/08/1998,12,8th Floor,Chadstone,32,NT,72,45,Apt 407,Chadstone,960,NSW,4352160079,9474604766,maitonb@tinyurl.com,Adelaide
MR,13,Rabi,Maurizio,Momery,Male,27/12/1992,5,14th Floor,Chadstone,30,SA,20,45,Suite 71,Glen Waverley,622,SA,6494464819,3279534458,mmomeryc@jalbum.net,Adelaide
MR,14,Filbert,Nowell,Crichley,Male,5/08/1981,7,8th Floor,Chadstone,21,ACT,30,5,Room 605,Glen Waverley,86,NSW,3487425958,8269039744,ncrichleyd@census.gov,Adelaide
MISS,15,Taddeusz,Flinn,Polsin,Male,16/10/1961,1,PO Box 67050,Chadstone,61,VIC,1,28,Suite 39,Chadstone,587,VIC,4226586051,3355002675,fpolsine@boston.com,Adelaide
MR,16,Dorian,Diana,Boakes,Agender,23/08/1965,5,Apt 1587,Chadstone,92,NT,6,53,PO Box 25016,Glen Waverley,710,WA,4256182654,4998636849,dboakesf@mapquest.com,Adelaide
MISS,17,Janelle,Fenelia,McNirlan,Female,13/03/1999,3,Apt 457,Chadstone,58,TA,70,95,Apt 922,Chadstone,552,NT,8624965625,4258532420,fmcnirlang@gov.uk,Adelaide
MISS,18,Raynor,Jefferey,Snaddin,Male,13/09/1981,8,Apt 897,Chadstone,68,QLD,97,5,Room 1267,Glen Waverley,673,QLD,7316998548,6164655566,jsnaddinh@lulu.com,Adelaide
MISS,19,Sherlocke,Washington,Verdy,Male,16/05/1975,6,Room 198,Chadstone,19,WA,60,96,Room 1616,Chadstone,281,NT,7197460642,8682172660,wverdyi@cafepress.com,Adelaide
MISS,20,Eddi,Dode,Tott,Female,2/12/1973,1,Suite 12,Chadstone,19,NT,91,15,9th Floor,Glen Waverley,204,NT,6965618568,9675395595,dtottj@kickstarter.com,Adelaide
