title,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName,residentStreetName
MR,1,Dennis,Aylmer,Mayfield,Male,2005/02/10,10,PO Box 89395,Chadstone,54,TA,85,72,Apt 1,Glen Waverley,89,TA,4822500775,3554311738,amayfield0@tmall.com,Petrie,0 Raven Avenue
MR,2,Carlynn,Ettie,Ferreiro,Female,1998/09/26,1,Room 42,Chadstone,82,ACT,52,48,11th Floor,Chadstone,540,SA,7458873921,6347083042,eferreiro1@bandcamp.com,Barton,0089 Tony Plaza
MR,3,Julienne,Lucie,Emblin,Female,1996/12/03,8,Room 1468,Chadstone,28,QLD,93,19,14th Floor,Glen Waverley,349,NSW,4133183141,3138087956,lemblin2@github.io,Barton,08528 Barby Way
MR,4,Johann,Bronny,Pedroli,Male,1993/09/14,3,Room 346,Chadstone,76,ACT,29,58,PO Box 36906,Chadstone,441,NSW,6834897003,4247272812,bpedroli3@imgur.com,Grey,2 Mallory Way
MISS,5,Nicolais,El,Davydkov,Male,1973/02/17,6,Room 605,Chadstone,63,WA,73,21,Room 526,Chadstone,873,SA,5568498365,8994333793,edavydkov4@lycos.com,Greenway,264 Hoard Parkway
MISS,6,Sly,Charlie,Livingstone,Male,1991/10/03,4,7th Floor,Chadstone,83,TA,79,75,6th Floor,Glen Waverley,105,VIC,8001184581,5956640274,clivingstone5@trellian.com,Newcastle,90 Chinook Point
MISS,7,Biron,Laurence,Brabban,Male,1993/09/10,3,Apt 1397,Chadstone,44,WA,28,3,PO Box 456,Glen Waverley,569,WA,1768369360,2057615090,lbrabban6@1688.com,Eden-Monaro,130 Anzinger Terrace
MISS,8,Garrett,Chevalier,Haller,Male,2005/05/27,5,13th Floor,Chadstone,20,TA,3,80,4th Floor,Glen Waverley,43,TA,8087575985,4894038135,challer7@skype.com,Scullin,0 Corben Lane
MISS,9,Lew,Car,Gleader,Male,1982/05/20,11,PO Box 72007,Chadstone,51,VIC,63,3,Room 1047,Glen Waverley,801,NT,8563630450,8203412727,cgleader8@admin.ch,Fisher,34 Hermina Court
MISS,10,Julianna,Kaye,Meco,Agender,1981/06/07,10,Room 1643,Chadstone,31,TA,69,82,5th Floor,Chadstone,186,ACT,4375586039,2476432235,kmeco9@goo.ne.jp,Holt,2767 Mitchell Avenue
MISS,11,Milicent,Bunnie,Mannix,Female,1961/01/13,2,4th Floor,Chadstone,34,TA,11,89,Apt 1562,Chadstone,791,NT,1623802216,1036019674,bmannixa@paypal.com,Bradfield,41574 Huxley Road
MISS,12,Marilin,Lotty,Duprey,Female,1995/02/27,2,Apt 1,Chadstone,75,SA,46,18,7th Floor,Chadstone,172,NT,2157399656,3213659320,ldupreyb@sciencedaily.com,Dickson,5558 Troy Terrace
