title,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName,residentStreetName
MR,1,Stephana,Candida,Niaves,Female,1963/03/11,4,PO Box 30472,Chadstone,34,TA,80,42,PO Box 41766,Chadstone,517,SA,5371386053,5824166228,cniaves0@vk.com,Adelaide,4704 Eastwood Place
MR,2,Bartholomeo,Sidney,Arber,Male,1969/05/08,2,10th Floor,Chadstone,86,TA,54,6,Room 832,Chadstone,170,QLD,6759685626,1566027881,sarber1@fotki.com,Adelaide,21 Westerfield Court
MISS,3,Jerome,Lazarus,Jeschner,Male,1979/07/26,8,Suite 79,Chadstone,81,VIC,68,10,Suite 12,Glen Waverley,355,NSW,1718738090,5067616252,ljeschner2@gov.uk,Adelaide,3999 Victoria Pass
MISS,4,Zandra,Ami,Muspratt,Female,1967/11/09,6,Suite 16,Chadstone,56,NSW,93,39,PO Box 53657,Glen Waverley,523,WA,5204364278,4374266475,amuspratt3@un.org,Adelaide,0568 Holmberg Road
MISS,5,Kalle,Brnaby,Duckers,Male,1975/12/10,1,Suite 48,Chadstone,90,QLD,97,53,PO Box 96516,Glen Waverley,463,WA,3994585305,6359997043,bduckers4@xrea.com,Adelaide,96551 Roxbury Center
MISS,6,Selene,Shara,Dyshart,Female,1997/07/21,5,Room 932,Chadstone,52,NT,24,88,Room 177,Glen Waverley,859,WA,5975051436,8151513196,sdyshart5@arstechnica.com,Adelaide,681 Onsgard Crossing
MISS,7,See,Alexandro,Lindsay,Male,1981/02/06,8,PO Box 27437,Chadstone,61,NT,73,44,PO Box 13203,Chadstone,141,NT,9103291056,1665972889,alindsay6@answers.com,Adelaide,7358 Annamark Place
MR,8,Thorn,Norbie,Feander,Male,1965/08/27,7,Suite 9,Chadstone,65,NT,90,2,Room 1663,Glen Waverley,150,VIC,3092640440,4868500128,nfeander7@studiopress.com,Adelaide,75026 Kipling Plaza
MR,9,Rudyard,Nappy,Hedylstone,Male,1997/06/25,12,10th Floor,Chadstone,43,QLD,86,88,Apt 1504,Chadstone,966,VIC,1481728010,2789331005,nhedylstone8@cisco.com,Adelaide,43067 Kings Court
MISS,10,Tricia,Britt,Lupson,Female,1986/03/07,9,Room 189,Chadstone,91,NT,86,75,Room 1611,Glen Waverley,240,SA,5608575707,3208485707,blupson9@yellowbook.com,Adelaide,14 Vernon Junction
MISS,11,Axel,Siffre,Preto,Male,1981/11/11,6,16th Floor,Chadstone,55,NT,99,18,Room 734,Chadstone,915,VIC,2744868524,1828377343,spretoa@jimdo.com,Adelaide,54 Kropf Alley
MR,12,Eward,Thor,Havard,Male,1994/02/27,1,Room 1440,Chadstone,84,TA,99,30,PO Box 61835,Glen Waverley,654,VIC,5403731487,3525149559,thavardb@toplist.cz,Adelaide,36962 Lillian Park
MISS,13,Nikos,Enoch,Criple,Male,2001/06/20,2,PO Box 37537,Chadstone,25,TA,93,63,Suite 36,Chadstone,534,VIC,6446747873,9784733088,ecriplec@cam.ac.uk,Adelaide,4094 Lighthouse Bay Trail
MR,14,Hymie,Stanley,Du Hamel,Male,1964/07/07,2,12th Floor,Chadstone,46,NT,1,97,Apt 1446,Glen Waverley,574,QLD,2477524458,1262281358,sduhameld@upenn.edu,Adelaide,06774 Nova Court
MISS,15,Inger,Hyacinth,Kleinsmuntz,Female,1964/05/20,11,Suite 61,Chadstone,38,ACT,88,71,Apt 1707,Glen Waverley,568,WA,1234465402,1135914288,hkleinsmuntze@tripod.com,Adelaide,68119 American Lane
MISS,16,Madelena,Betteann,Bridewell,Female,1984/08/04,11,PO Box 97280,Chadstone,21,NSW,81,35,Suite 95,Chadstone,22,VIC,7014547325,9956821208,bbridewellf@istockphoto.com,Adelaide,2735 Mayer Center
MR,17,Rancell,Valera,Tampling,Genderfluid,1981/02/01,5,Apt 35,Chadstone,2,NT,55,29,Suite 33,Glen Waverley,768,WA,9821698896,8309447819,vtamplingg@meetup.com,Adelaide,99 Lake View Drive
MISS,18,Hedwig,Virgil,Gutowska,Non-binary,1961/08/23,10,Apt 796,Chadstone,15,NSW,3,87,PO Box 32923,Chadstone,186,WA,5261607485,9031397677,vgutowskah@bbc.co.uk,Adelaide,1779 Mayer Terrace
MR,19,Creight,Ryley,Ackred,Male,1996/08/15,5,PO Box 51237,Chadstone,90,NT,53,43,Apt 1262,Chadstone,18,SA,6325564840,7004314066,rackredi@dot.gov,Adelaide,8956 Pankratz Avenue
MR,20,Elka,Chandal,Chominski,Female,2002/02/05,3,Apt 1551,Chadstone,41,WA,39,20,Suite 89,Chadstone,57,NT,9457427290,8616177502,cchominskij@amazon.de,Adelaide,3 Anhalt Circle
MISS,21,Joelle,Gui,Laraway,Female,1964/01/31,7,16th Floor,Chadstone,49,NT,62,23,PO Box 4692,Glen Waverley,818,SA,9979268487,9132050065,glarawayk@cyberchimps.com,Adelaide,1595 Dryden Way
MISS,22,Avrom,Pierce,Clopton,Male,1999/10/28,8,Room 809,Chadstone,10,NT,26,1,Apt 935,Glen Waverley,580,NT,5738869280,3104326043,pcloptonl@oaic.gov.au,Adelaide,60 Jana Terrace
MISS,23,Melodee,Cristy,Bowes,Female,1978/06/26,4,Suite 46,Chadstone,63,WA,54,9,PO Box 85995,Glen Waverley,219,NT,3523117812,1414200963,cbowesm@deliciousdays.com,Adelaide,5 Walton Hill
MR,24,Elston,Demetri,McCoy,Agender,2003/02/26,5,8th Floor,Chadstone,86,NSW,53,25,17th Floor,Glen Waverley,445,NSW,5686943325,3432396300,dmccoyn@163.com,Adelaide,52980 6th Hill
MR,25,Lemmie,Kippie,Storcke,Bigender,1962/02/23,12,9th Floor,Chadstone,32,ACT,61,87,PO Box 21684,Glen Waverley,343,ACT,2676344210,6885407046,kstorckeo@imageshack.us,Adelaide,290 Butterfield Park
MISS,26,Brendan,Christoph,Livard,Male,1960/11/22,12,4th Floor,Chadstone,59,SA,20,4,Room 1412,Glen Waverley,477,SA,6881765014,6612521024,clivardp@berkeley.edu,Adelaide,1 Anderson Park
MISS,27,Thaine,Stearn,Phil,Male,1991/08/18,7,15th Floor,Chadstone,29,QLD,13,78,8th Floor,Chadstone,217,WA,4469666513,3337895082,sphilq@homestead.com,Adelaide,5555 Sycamore Park
MR,28,Ileane,Haslett,Derr,Genderfluid,1962/02/02,5,PO Box 34473,Chadstone,78,QLD,94,4,10th Floor,Glen Waverley,320,QLD,1815267917,4629382857,hderrr@spotify.com,Adelaide,7910 Lerdahl Alley
MR,29,Hallsy,Blaine,Woollcott,Male,1969/03/10,3,14th Floor,Chadstone,69,TA,46,2,Apt 518,Chadstone,970,NT,4834822044,2359220875,bwoollcotts@arizona.edu,Adelaide,44 Amoth Way
MISS,30,Poppy,Matelda,De Miranda,Female,1991/07/27,7,Suite 23,Chadstone,86,WA,5,36,Room 1929,Glen Waverley,405,SA,2409761631,9905732834,mdemirandat@mac.com,Adelaide,2 Mallard Drive
MISS,31,Claire,Mariquilla,Gearing,Female,2005/09/17,7,14th Floor,Chadstone,3,VIC,53,93,Room 1958,Glen Waverley,956,QLD,5943493190,1664066770,mgearingu@redcross.org,Adelaide,5317 Coleman Court
MISS,32,Jens,Matthias,Washington,Male,1985/06/08,6,Suite 10,Chadstone,16,SA,56,18,Suite 85,Chadstone,888,NSW,9744001322,6607619299,mwashingtonv@skype.com,Adelaide,2408 Holy Cross Trail
MISS,33,Griselda,Ricki,Wanka,Female,1984/10/12,12,Room 884,Chadstone,42,VIC,28,67,5th Floor,Chadstone,587,NSW,9162909252,6632103371,rwankaw@marketwatch.com,Adelaide,07571 Independence Circle
MR,34,Armin,Angie,Rate,Male,1974/09/11,2,Apt 951,Chadstone,79,NT,66,12,Room 817,Glen Waverley,412,NT,7885906381,9903480362,aratex@altervista.org,Adelaide,7823 Schlimgen Trail
