id,voterID,firstName,middleName,lastName,gender,dateOfBirth,residentUnitNumber,residentStreetNumber,residentSuburb,residentPostCode,residentState ,postalUnitNumber,postalStreetNumber,postalStreetName ,postalSuburb,postalPostCode,postalState,daytimePhone ,mobile,emailAddress,divisionName
MISS,1,Tannie,Ruprecht,Jorry,Male,8/08/1979,11,Apt 1982,Chadstone,181,QLD,8,33,Room 1727,Glen Waverley,64,WA,7603724500,6845578511,rjorry0@etsy.com,Adelaide
MR,2,Antonio,Torin,Berzon,Male,4/11/1983,6,Room 1289,Chadstone,643,QLD,98,53,Suite 13,Chadstone,164,ACT,9798030990,4468801294,tberzon1@rakuten.co.jp,Adelaide
MR,3,Marget,Pammie,Baxstar,Female,22/10/1973,3,PO Box 12107,Chadstone,347,ACT,71,26,Suite 35,Glen Waverley,675,VIC,5783825943,1834468586,pbaxstar2@patch.com,Adelaide
MR,4,Moina,Elaina,Swatland,Female,17/08/1992,4,Suite 67,Chadstone,959,NT,19,80,7th Floor,Glen Waverley,698,QLD,2684736931,2739355834,eswatland3@cisco.com,Adelaide
MR,5,Clair,Karlotte,Jaslem,Genderqueer,25/08/2005,10,PO Box 50955,Chadstone,80,VIC,30,1,1st Floor,Glen Waverley,461,WA,4428901525,5623269996,kjaslem4@artisteer.com,Adelaide
MISS,6,Seumas,Pepito,Vasilechko,Male,9/10/1978,4,10th Floor,Chadstone,54,NT,72,22,15th Floor,Chadstone,734,ACT,7223843843,7725603206,pvasilechko5@whitehouse.gov,Adelaide
MR,7,Valina,Melisent,Felderer,Female,24/10/2003,8,Suite 45,Chadstone,195,TA,9,16,5th Floor,Glen Waverley,977,SA,5863424569,6833225893,mfelderer6@ibm.com,Adelaide
MISS,8,Jerrylee,Sheffy,Wildgoose,Bigender,10/07/1983,12,Apt 927,Chadstone,39,VIC,23,34,Apt 1690,Chadstone,807,SA,3791823014,9914139443,swildgoose7@dion.ne.jp,Adelaide
MR,9,Lanita,Shaylynn,Finnimore,Female,30/05/1993,1,Suite 19,Chadstone,642,TA,52,76,PO Box 13807,Chadstone,934,WA,2292114855,4569956995,sfinnimore8@qq.com,Adelaide
MISS,10,Latisha,Evy,Cantwell,Female,12/01/1972,1,16th Floor,Chadstone,406,ACT,68,96,Suite 74,Glen Waverley,922,NSW,4409288188,6677497502,ecantwell9@upenn.edu,Adelaide
MISS,11,Edwina,Belicia,Klimkiewich,Genderqueer,1/12/1978,12,Suite 74,Chadstone,322,WA,73,79,19th Floor,Glen Waverley,555,QLD,1739159786,4384819195,bklimkiewicha@i2i.jp,Adelaide
MISS,12,Edgardo,Mile,Dering,Male,16/07/2005,10,4th Floor,Chadstone,652,SA,15,46,PO Box 64964,Glen Waverley,161,NSW,4916677579,1898950333,mderingb@flickr.com,Adelaide
MR,13,Chrisse,Donaugh,Hargate,Male,3/07/1983,4,PO Box 66205,Chadstone,963,NSW,19,98,Apt 45,Glen Waverley,600,TA,7834391305,4514750700,dhargatec@hud.gov,Adelaide
MR,14,Agnes,Gabi,Carbin,Genderfluid,31/10/1968,11,Apt 1988,Chadstone,463,SA,13,40,Suite 74,Glen Waverley,600,TA,7815655058,9134915622,gcarbind@list-manage.com,Adelaide
MISS,15,Raoul,Thedrick,Sheere,Male,31/08/2000,2,Room 46,Chadstone,410,VIC,23,79,Room 264,Chadstone,909,NSW,7009144646,5283957051,tsheeree@e-recht24.de,Adelaide
MR,16,Sascha,Christophe,Guillotin,Male,5/08/1988,4,Apt 508,Chadstone,200,QLD,7,86,Suite 89,Glen Waverley,438,NT,5647339387,9586909050,cguillotinf@eepurl.com,Adelaide
MISS,17,Guido,Prescott,Fryer,Male,22/08/2001,9,Apt 815,Chadstone,49,NSW,51,68,Apt 1461,Chadstone,248,VIC,8756706983,5231780747,pfryerg@boston.com,Adelaide
MR,18,Candida,Amabel,Mardlin,Female,20/12/1995,4,17th Floor,Chadstone,880,ACT,48,45,Room 5,Chadstone,391,ACT,4255773745,4682167228,amardlinh@bandcamp.com,Adelaide
MR,19,Othella,Ana,Dunkirk,Female,16/12/1989,8,Suite 2,Chadstone,834,WA,5,21,Apt 1611,Glen Waverley,804,WA,3926424706,8299274361,adunkirki@google.com.br,Adelaide
